Timestamp,Garage Name,Address,Occupancy,Last Updated
2025-03-22 16:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",33,"Saturday, 2025-3-22 9:57:00 AM"
2025-03-22 17:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",34,"Saturday, 2025-3-22 10:13:00 AM"
2025-03-22 17:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",34,"Saturday, 2025-3-22 10:29:00 AM"
2025-03-22 17:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",35,"Saturday, 2025-3-22 10:41:00 AM"
2025-03-22 17:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",36,"Saturday, 2025-3-22 10:57:00 AM"
2025-03-22 18:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",36,"Saturday, 2025-3-22 11:13:00 AM"
2025-03-22 18:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",37,"Saturday, 2025-3-22 11:28:00 AM"
2025-03-22 18:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",37,"Saturday, 2025-3-22 11:41:00 AM"
2025-03-22 18:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",37,"Saturday, 2025-3-22 11:57:00 AM"
2025-03-22 19:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",38,"Saturday, 2025-3-22 12:13:00 PM"
2025-03-22 19:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",39,"Saturday, 2025-3-22 12:29:00 PM"
2025-03-22 19:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",39,"Saturday, 2025-3-22 12:41:00 PM"
2025-03-22 19:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",40,"Saturday, 2025-3-22 12:57:00 PM"
2025-03-22 20:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",41,"Saturday, 2025-3-22 1:13:00 PM"
2025-03-22 20:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",41,"Saturday, 2025-3-22 1:29:00 PM"
2025-03-22 20:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",41,"Saturday, 2025-3-22 1:41:00 PM"
2025-03-22 20:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",42,"Saturday, 2025-3-22 1:57:00 PM"
2025-03-22 21:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",43,"Saturday, 2025-3-22 2:13:00 PM"
2025-03-22 21:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",43,"Saturday, 2025-3-22 2:29:00 PM"
2025-03-22 21:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",43,"Saturday, 2025-3-22 2:41:00 PM"
2025-03-22 21:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",43,"Saturday, 2025-3-22 2:57:00 PM"
2025-03-22 22:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",44,"Saturday, 2025-3-22 3:13:00 PM"
2025-03-22 22:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",44,"Saturday, 2025-3-22 3:29:00 PM"
2025-03-22 22:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",45,"Saturday, 2025-3-22 3:41:00 PM"
2025-03-22 22:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",44,"Saturday, 2025-3-22 3:57:00 PM"
2025-03-22 23:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",44,"Saturday, 2025-3-22 4:13:00 PM"
2025-03-22 23:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",43,"Saturday, 2025-3-22 4:29:00 PM"
2025-03-22 23:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",40,"Saturday, 2025-3-22 4:41:00 PM"
2025-03-22 23:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",38,"Saturday, 2025-3-22 4:57:00 PM"
2025-03-23 00:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",37,"Sunday, 2025-3-22 5:13:00 PM"
2025-03-23 00:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",35,"Sunday, 2025-3-22 5:29:00 PM"
2025-03-23 00:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",34,"Sunday, 2025-3-22 5:41:00 PM"
2025-03-23 00:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",34,"Sunday, 2025-3-22 5:57:00 PM"
2025-03-22 18:21:15,South Garage,"377 S. 7th St., San Jose, CA 95112",32,"Saturday, 2025-3-22 6:21:00 PM"
2025-03-22 18:36:16,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 6:33:00 PM"
2025-03-22 18:51:16,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 6:49:00 PM"
2025-03-22 19:06:16,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 7:05:00 PM"
2025-03-22 19:21:17,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 7:21:00 PM"
2025-03-22 19:36:17,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 7:33:00 PM"
2025-03-22 19:51:17,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 7:49:00 PM"
2025-03-22 20:06:18,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 8:05:00 PM"
